send_dt,send_time,send_number,campaign,email_name,category,text,emails_sent,emails_delivered,undeliverable,total_clicks,unique_clicks,unique_opens,unsubscribes,unique_complaints,total_complaints,gifts,revenue,Audience,send_group,Open_Rate_nw,Click_Rate_nw,Donation_Rate_nw,revenue_1k_new,month,polarity_score,subjectivity_score,processed_text,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
2022-03-10,8:52:36 PM,1.0,DAF,2022-03-10-DAF-Postcard,fundraising,[NONPROFIT]'s Ukraine response and how you can make a greater impact,968,966,2.0,4.0,4,381,0,0.0,0.0,0.0,0.0,Other,2022-03-10-DAF-P,0.393595041322314,0.0041322314049586,0.0,0.0,3,0.5,0.5,nonprofit ukraine response great impact,0.005720070563256741,0.0006404202431440353,0.0004103253304492682,0.0013991552405059338,0.12396632134914398,0.1790790557861328,0.0042124860920012,0.02166101522743702,0.0006028386997058988,0.0003405368188396096,0.0004355577693786472,0.00020955309446435422,0.0002587996714282781,0.01535414531826973,0.0033413213677704334,0.001364953350275755,0.0004935389151796699,0.000985452439635992,0.000586393871344626,0.0010539076756685972,0.10722348093986511,8.36634571896866e-05,0.045712269842624664,0.0006754206260666251,0.0047890301793813705,0.0011351206339895725,0.003115033032372594,0.47515010833740234
2021-06-29,2:03:54 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-Partner-B,fundraising,You make our work possible,6829,6819,10.0,21.0,18,1603,3,0.0,0.0,7.0,3850.0,Partners,2021-06-EOQ-dead,0.2347342217015668,0.0026358178357006,0.0010250402694391,563.7721481915361,6,0.0,1.0,work possible,0.00013588125875685364,0.0002335283497814089,0.00010211335029453039,0.002072299597784877,0.0004934797761961818,3.5107590520055965e-05,0.000560644140932709,0.0001312104577664286,0.0017667085630819201,0.0020759638864547014,0.0006907269125804305,5.213515032664873e-05,1.9441893527982756e-05,3.342940181028098e-05,4.508274287218228e-05,2.1464380552060902e-05,2.6358167815487832e-05,5.303520447341725e-05,2.213473453593906e-05,5.891612090636045e-05,0.016925305128097534,1.6131827578647062e-05,0.003681039437651634,1.0017788554250728e-05,5.6721419241512194e-05,0.000554263882804662,0.0001433744910173118,0.9699834585189819
2021-06-29,2:03:48 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-FM-PNB-B,fundraising,You make our work possible,84,84,0.0,0.0,0,21,0,0.0,0.0,0.0,0.0,PNB,2021-06-EOQ-dead,0.25,0.0,0.0,0.0,6,0.0,1.0,work possible,0.00013588125875685364,0.0002335283497814089,0.00010211335029453039,0.002072299597784877,0.0004934797761961818,3.5107590520055965e-05,0.000560644140932709,0.0001312104577664286,0.0017667085630819201,0.0020759638864547014,0.0006907269125804305,5.213515032664873e-05,1.9441893527982756e-05,3.342940181028098e-05,4.508274287218228e-05,2.1464380552060902e-05,2.6358167815487832e-05,5.303520447341725e-05,2.213473453593906e-05,5.891612090636045e-05,0.016925305128097534,1.6131827578647062e-05,0.003681039437651634,1.0017788554250728e-05,5.6721419241512194e-05,0.000554263882804662,0.0001433744910173118,0.9699834585189819
2021-06-29,2:03:57 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-Partner-A,fundraising,DEADLINE: We?re just short of our goal,6882,6874,8.0,38.0,27,1494,10,4.0,4.0,14.0,6150.0,Partners,2021-06-EOQ-dead,0.2170880557977332,0.0039232781168265,0.002034292356873,893.6355710549259,6,0.0,0.3,deadline we?re short goal,7.261394057422876e-05,0.0005388412391766906,0.0014935678336769342,0.0009663456585258245,0.001028532744385302,0.001622888259589672,0.010058025829494,0.0035877039190381765,0.00043284654384478927,0.13231204450130463,0.000658780918456614,0.00015336029173340648,0.012348180636763573,0.00027916798717342317,0.0027963698375970125,0.00010764096805360168,0.0014612028608098626,0.00010549650323810056,0.011762921698391438,0.0024423261638730764,0.00028517108876258135,0.0001322543976129964,0.04669977352023125,2.719210897339508e-05,0.22018525004386902,0.5428408980369568,0.0009376514935865998,0.004662941209971905
2021-06-29,2:03:49 PM,1.0,EOQ,2021-06-EOQ-deadline-E1-FM-PNB-A,fundraising,DEADLINE: We?re just short of our goal,80,80,0.0,1.0,1,16,1,1.0,1.0,0.0,0.0,PNB,2021-06-EOQ-dead,0.2,0.0125,0.0,0.0,6,0.0,0.3,deadline we?re short goal,7.261394057422876e-05,0.0005388412391766906,0.0014935678336769342,0.0009663456585258245,0.001028532744385302,0.001622888259589672,0.010058025829494,0.0035877039190381765,0.00043284654384478927,0.13231204450130463,0.000658780918456614,0.00015336029173340648,0.012348180636763573,0.00027916798717342317,0.0027963698375970125,0.00010764096805360168,0.0014612028608098626,0.00010549650323810056,0.011762921698391438,0.0024423261638730764,0.00028517108876258135,0.0001322543976129964,0.04669977352023125,2.719210897339508e-05,0.22018525004386902,0.5428408980369568,0.0009376514935865998,0.004662941209971905
2021-06-30,9:02:57 PM,2.0,EOQ,2021-06-EOQ-deadline-E2-FM-PNB-A,fundraising,FWD: We?re so close to the finish line,158,158,0.0,0.0,0,41,0,0.0,0.0,0.0,0.0,PNB,2021-06-EOQ-dead,0.2594936708860759,0.0,0.0,0.0,6,0.0,0.0,fwd we?re close finish line,4.2179333831882104e-05,0.0001680880959611386,3.8827194657642394e-05,6.3172890804708e-05,0.00029015276231803,3.5046519769821316e-05,7.906626706244424e-05,0.0014426052803173661,0.0001344988268101588,2.3782009520800784e-05,2.3100179532775655e-05,3.231066875741817e-05,3.472135722404346e-05,0.9912329316139221,0.000135838141432032,5.9160887758480385e-05,2.757938091235701e-05,0.0012921254383400083,6.419765850296244e-05,0.001146764145232737,2.7290507205179892e-05,0.00010543359530856833,0.00028064995422028005,2.8933278372278437e-05,5.6661410781089216e-05,4.780898234457709e-05,0.0010809700470417738,0.0020059251692146063
2021-06-30,9:00:39 PM,2.0,EOQ,2021-06-EOQ-deadline-E2-Partner-A,fundraising,FWD: We?re so close to the finish line,19,19,0.0,1.0,1,16,0,0.0,0.0,20.0,7975.0,Partners,2021-06-EOQ-dead,0.8421052631578947,0.0526315789473684,1.0526315789473684,419736.8421052632,6,0.0,0.0,fwd we?re close finish line,4.2179333831882104e-05,0.0001680880959611386,3.8827194657642394e-05,6.3172890804708e-05,0.00029015276231803,3.5046519769821316e-05,7.906626706244424e-05,0.0014426052803173661,0.0001344988268101588,2.3782009520800784e-05,2.3100179532775655e-05,3.231066875741817e-05,3.472135722404346e-05,0.9912329316139221,0.000135838141432032,5.9160887758480385e-05,2.757938091235701e-05,0.0012921254383400083,6.419765850296244e-05,0.001146764145232737,2.7290507205179892e-05,0.00010543359530856833,0.00028064995422028005,2.8933278372278437e-05,5.6661410781089216e-05,4.780898234457709e-05,0.0010809700470417738,0.0020059251692146063
2021-06-30,9:02:57 PM,2.0,EOQ,2021-06-EOQ-deadline-E2-Partner-A,fundraising,FWD: We?re so close to the finish line,12851,12830,21.0,80.0,52,2977,10,3.0,3.0,20.0,7975.0,Partners,2021-06-EOQ-dead,0.2316551241148548,0.0040463777137965,0.0015562991206909,620.574274375535,6,0.0,0.0,fwd we?re close finish line,4.2179333831882104e-05,0.0001680880959611386,3.8827194657642394e-05,6.3172890804708e-05,0.00029015276231803,3.5046519769821316e-05,7.906626706244424e-05,0.0014426052803173661,0.0001344988268101588,2.3782009520800784e-05,2.3100179532775655e-05,3.231066875741817e-05,3.472135722404346e-05,0.9912329316139221,0.000135838141432032,5.9160887758480385e-05,2.757938091235701e-05,0.0012921254383400083,6.419765850296244e-05,0.001146764145232737,2.7290507205179892e-05,0.00010543359530856833,0.00028064995422028005,2.8933278372278437e-05,5.6661410781089216e-05,4.780898234457709e-05,0.0010809700470417738,0.0020059251692146063
2020-09-10,1:10:00 AM,1.0,Moira,2020-09-Moira-Field-Partner,Appeal,Fires leave Moria refugee camp in ashes,58679,58578,101.0,707.0,480,9709,17,3.0,3.0,280.0,24998.0,Field Partners,2020-09-Moira-Fi,0.1654595340752228,0.0081800985020194,0.004771724126178,426.01271323642186,9,0.0,0.0,fire leave moria refugee camp ashe,0.00025620247470214963,0.0001047474579536356,0.0022919324692338705,0.0010265613673254848,0.0013967632548883557,0.0008135571260936558,3.176443715346977e-05,6.793126522097737e-05,0.00014419169747270644,0.03226899728178978,0.00027112761745229363,0.0036192794796079397,4.828716555493884e-05,3.484006447251886e-05,0.0054273768328130245,3.972565536969341e-05,0.0018024299060925841,9.527708607492968e-05,0.00035269875661469996,0.0004830911639146507,0.0002470272593200207,2.298403524036985e-05,0.0007526630070060492,2.8994783860980533e-05,0.0006358011742122471,0.9091335535049438,8.532921492587775e-05,0.03851696476340294
2020-09-10,1:01:00 AM,1.0,Moira,2020-09-Moira-AD-0-12-month-donors,Appeal,Fires leave Moria refugee camp in ashes,57593,57458,135.0,,263,8555,35,10.0,10.0,124.0,8454.0,First Levels,2020-09-Moira-AD,0.1485423575781779,0.0045665271821228,0.0021530394318754,146.78867223447293,9,0.0,0.0,fire leave moria refugee camp ashe,0.00025620247470214963,0.0001047474579536356,0.0022919324692338705,0.0010265613673254848,0.0013967632548883557,0.0008135571260936558,3.176443715346977e-05,6.793126522097737e-05,0.00014419169747270644,0.03226899728178978,0.00027112761745229363,0.0036192794796079397,4.828716555493884e-05,3.484006447251886e-05,0.0054273768328130245,3.972565536969341e-05,0.0018024299060925841,9.527708607492968e-05,0.00035269875661469996,0.0004830911639146507,0.0002470272593200207,2.298403524036985e-05,0.0007526630070060492,2.8994783860980533e-05,0.0006358011742122471,0.9091335535049438,8.532921492587775e-05,0.03851696476340294
